n, genA_recur, genA_iter
0, 180, 136
1, 61, 63
2, 1224, 227
3, 1058, 124
4, 1659, 132
5, 2069, 149
6, 2699, 176
7, 3305, 292
8, 4032, 265
9, 4797, 270
10, 5333, 297
11, 5976, 342
12, 6791, 418
13, 7583, 388
14, 8343, 416
15, 8980, 490
16, 9935, 512
17, 10717, 563
18, 11539, 599
19, 12155, 648
20, 12861, 747
21, 13567, 766
22, 14365, 795
23, 15080, 890
24, 16097, 931
25, 16970, 975
26, 17818, 1024
27, 18754, 1120
28, 19351, 1215
29, 20211, 1274
30, 21142, 1319
31, 21857, 1451
32, 22917, 1509
33, 23867, 1584
34, 24933, 1686
35, 26122, 1752
36, 29501, 1925
37, 27940, 1985
38, 28365, 2019
39, 29490, 2078
40, 29550, 2168
41, 30241, 2265
42, 31166, 2395
43, 32260, 2466
44, 33032, 2606
45, 33799, 2725
46, 34745, 2854
47, 35848, 2956
48, 36866, 3060
49, 37966, 3201
50, 38762, 3362
51, 39903, 3428
52, 40854, 3575
53, 41981, 3737
54, 42984, 3906
55, 44284, 3976
56, 44039, 4146
57, 44834, 4247
58, 45804, 4460
59, 47088, 5191
60, 70619, 5080
61, 73511, 5233
62, 75402, 5405
63, 76870, 5528
64, 79265, 5663
65, 81293, 5868
66, 82788, 6082
67, 84612, 6208
68, 85745, 6375
69, 87431, 6602
70, 89216, 6744
71, 91527, 6985
72, 91436, 7146
73, 100772, 7512
74, 62166, 7430
75, 63089, 7395
76, 63586, 7571
77, 65162, 7720
78, 66014, 7937
79, 67587, 8124
80, 66574, 8245
81, 67067, 8502
82, 67963, 8664
83, 68879, 8913
84, 69891, 9166
85, 71401, 9448
86, 71759, 9518
87, 72749, 9773
88, 73515, 9946
89, 74375, 10191
90, 75206, 10319
91, 76600, 10982
92, 77383, 10956
93, 78482, 11238
94, 79680, 11315
95, 80595, 11612
96, 81869, 11884
97, 83088, 12045
98, 84353, 12295
99, 85203, 12458
100, 86066, 12720
101, 87325, 12940
102, 88491, 13294
103, 89527, 13565
104, 89952, 13819
105, 90686, 13920
106, 92434, 14230
107, 93320, 14496
108, 94390, 14801
109, 95560, 15114
110, 96470, 15331
111, 98058, 15696
112, 97452, 15935
113, 98249, 16176
114, 99421, 16507
115, 100571, 16829
116, 101348, 16937
117, 102820, 17358
118, 104169, 17701
119, 105456, 17975
120, 105598, 18251
121, 107065, 18503
122, 108301, 18771
123, 109699, 19026
124, 109810, 19446
125, 115499, 19776
126, 112742, 19847
127, 114040, 20402
128, 129053, 20183
129, 113182, 20304
130, 114331, 20619
131, 115607, 21064
132, 116766, 21187
133, 118358, 21598
134, 118881, 21927
135, 120310, 22215
136, 120687, 22603
137, 121968, 22893
138, 122471, 23142
139, 124207, 23499
140, 124382, 23906
141, 126499, 24252
142, 127117, 24549
143, 128638, 24792
144, 127181, 25184
145, 130239, 25494
146, 129451, 25877
147, 130656, 26263
148, 131204, 26586
149, 132915, 26896
150, 134378, 27145
151, 135651, 27616
152, 136140, 28074
153, 137185, 28272
154, 138210, 28669
155, 139506, 29115
156, 152550, 29662
157, 145284, 29831
158, 181012, 30679
159, 145424, 30815
160, 142316, 31006
161, 142961, 31439
162, 144163, 31682
163, 146339, 32118
164, 147152, 32452
165, 147545, 33039
166, 148697, 33321
167, 150145, 33782
168, 150000, 34000
169, 151725, 34458
170, 152781, 35042
171, 153786, 35352
172, 154731, 35669
173, 156409, 36179
174, 157240, 36596
175, 158682, 37057
176, 157664, 37423
177, 158508, 37763
178, 159798, 38356
179, 161586, 38643
180, 162264, 39061
181, 162915, 39531
182, 164272, 39884
183, 165628, 40414
184, 166213, 40777
185, 167199, 41315
186, 167990, 41590
187, 169108, 42117
188, 170319, 42470
189, 171728, 43137
190, 175179, 43515
191, 173942, 43956
192, 175532, 44311
193, 176475, 44874
194, 177762, 45339
195, 179879, 45743
196, 180638, 46129
197, 181554, 46795
198, 183182, 47079
199, 183773, 47753
200, 186456, 47963
201, 186134, 48617
202, 187533, 49182
203, 188871, 49498
204, 211611, 50281
205, 192400, 53357
206, 193640, 51118
207, 195251, 51341
208, 193051, 51761
209, 193666, 52335
210, 195258, 52840
211, 196718, 53196
212, 198079, 53813
213, 199572, 54387
214, 200351, 54863
215, 203465, 56081
216, 203435, 55771
217, 244151, 56786
218, 206153, 57111
219, 219683, 56019
220, 200932, 56430
221, 202750, 56841
222, 203845, 57224
223, 218211, 56247
224, 196945, 56857
225, 197864, 57352
226, 268303, 57803
227, 210733, 73007
228, 197640, 57370
229, 197594, 57967
230, 198778, 58342
231, 208710, 57316
232, 194875, 57708
233, 195582, 58281
234, 210053, 57354
235, 193579, 57758
236, 194218, 58462
237, 195713, 58873
238, 279586, 79296
239, 193404, 58377
240, 191701, 59436
241, 193010, 59152
242, 194232, 59613
243, 198439, 60113
244, 198133, 60878
245, 197656, 61239
246, 198999, 61646
247, 200641, 62273
248, 200855, 62774
249, 202285, 63282
250, 203301, 63737
251, 204405, 64269
252, 205459, 64791
253, 206235, 65294
254, 206959, 65751
255, 208137, 66117
256, 209482, 66721
257, 210419, 67185
258, 211838, 67750
259, 212549, 68522
260, 214599, 68799
261, 215526, 69434
262, 217353, 70037
263, 217754, 70365
264, 218114, 70896
265, 218989, 71342
266, 220341, 71902
267, 222001, 72539
268, 223722, 73131
269, 224510, 73690
270, 225275, 73982
271, 226782, 74759
272, 225034, 75139
273, 226159, 75838
274, 228171, 76256
275, 228621, 76855
276, 229594, 77401
277, 230963, 77963
278, 233770, 78420
279, 234068, 79123
280, 233767, 79645
281, 234813, 80445
282, 236280, 80779
283, 237707, 81155
284, 238999, 81795
285, 239878, 82426
286, 240472, 83087
287, 242025, 83652
288, 238777, 84245
289, 239313, 84863
290, 240388, 85436
291, 241950, 85811
292, 243094, 86690
293, 243795, 87118
294, 245391, 87808
295, 246047, 88248
296, 247079, 88897
297, 247855, 89496
298, 251350, 89930
299, 251645, 90917
300, 250921, 91434
301, 252893, 91855
302, 254551, 92544
303, 254745, 93031
304, 254628, 93559
305, 255465, 94315
306, 256978, 94873
307, 259009, 95785
308, 260129, 95974
309, 261966, 96875
310, 260846, 97328
311, 262829, 98047
312, 263470, 98712
313, 264345, 99304
314, 265397, 99830
315, 266860, 100672
316, 267647, 101143
317, 269291, 101777
318, 269739, 102449
319, 271147, 103273
320, 262523, 169824
321, 315016, 163475
322, 267213, 105233
323, 265576, 105851
324, 266338, 106279
325, 268012, 106991
326, 314524, 157531
327, 271822, 108689
328, 272051, 108960
329, 271301, 109669
330, 273409, 110268
331, 274640, 110713
332, 275688, 111740
333, 277126, 112200
334, 278552, 112993
335, 281499, 113496
336, 278923, 114269
337, 280200, 114926
338, 280912, 115669
339, 282586, 116172
340, 283761, 116771
341, 284611, 117442
342, 286674, 118043
343, 288540, 118889
344, 287790, 119638
345, 289236, 120453
346, 291092, 123052
347, 292048, 121906
348, 292798, 169420
349, 358052, 124105
350, 294452, 124262
351, 295250, 124661
352, 291548, 125187
353, 291952, 125894
354, 293572, 126616
355, 295043, 127371
356, 295730, 128183
357, 297579, 128860
358, 298963, 129466
359, 301532, 130330
360, 299320, 130713
361, 300419, 131424
362, 305544, 132380
363, 303791, 133109
364, 304894, 133812
365, 305455, 134638
366, 306240, 135336
367, 351273, 136190
368, 307427, 136786
369, 307876, 137710
370, 309532, 138196
371, 310779, 139007
372, 313327, 139946
373, 312507, 140478
374, 314054, 141423
375, 315765, 141866
376, 316152, 142857
377, 317469, 143554
378, 318272, 144516
379, 319574, 144872
380, 319862, 145978
381, 372489, 203750
382, 323868, 147507
383, 324167, 148067
384, 325464, 148681
385, 326198, 149497
386, 328238, 150223
387, 374239, 151378
388, 401206, 152291
389, 331369, 152717
390, 333912, 153728
391, 334178, 154206
392, 334413, 204620
393, 371032, 155871
394, 336975, 156699
395, 339189, 157130
396, 339583, 158098
397, 341054, 159147
398, 341823, 159453
399, 390836, 240086
400, 360669, 163416
401, 347435, 162463
402, 347455, 162984
403, 347478, 214211
404, 386105, 164338
405, 394639, 182752
406, 352638, 166416
407, 352600, 167143
408, 353306, 167950
409, 353895, 168521
410, 355623, 169351
411, 399772, 378256
412, 532764, 171514
413, 448913, 171771
414, 360557, 295793
415, 532455, 244204
416, 553714, 176554
417, 358347, 176980
418, 361675, 176117
419, 362341, 177029
420, 439406, 177657
421, 365730, 178892
422, 370093, 223536
423, 525143, 180367
424, 479174, 223656
425, 412695, 182356
426, 414180, 183109
427, 450821, 186738
428, 375609, 185160
429, 374968, 186116
430, 379662, 186426
431, 379131, 187503
432, 379307, 188066
433, 439473, 242398
434, 449352, 195061
435, 393280, 195429
436, 405550, 191767
437, 525566, 249556
438, 437984, 193862
439, 424267, 194559
440, 498517, 195694
441, 429915, 199203
442, 556455, 235190
443, 427995, 197823
444, 390238, 198710
445, 395339, 199472
446, 393269, 200426
447, 395015, 205527
448, 418824, 208398
449, 401778, 214830
450, 410753, 213105
451, 391058, 204905
452, 392474, 206114
453, 394476, 206434
454, 398332, 207321
455, 395705, 208336
456, 394838, 265726
457, 519084, 316910
458, 523443, 226586
459, 450396, 212229
460, 399851, 213417
461, 511376, 220198
462, 534990, 329624
463, 470343, 278100
464, 525676, 265840
465, 407269, 218179
466, 455579, 218704
467, 468593, 261525
468, 418493, 220421
469, 421299, 223053
470, 424142, 223753
471, 420577, 223877
472, 421652, 225698
473, 420942, 225518
474, 420785, 227485
475, 617747, 227867
476, 502111, 228557
477, 570827, 229613
478, 426573, 230591
479, 432932, 393866
480, 490658, 232461
481, 466301, 247169
482, 437075, 252547
483, 458105, 235597
484, 431415, 272762
485, 429431, 242364
486, 431351, 276935
487, 485939, 251183
488, 449805, 240264
489, 472281, 262875
490, 450670, 242470
491, 438680, 278263
492, 476332, 245157
493, 639267, 244470
494, 507108, 362685
495, 645528, 404498
496, 483056, 312154
497, 592951, 317348
498, 615789, 256262
499, 642758, 308842
500, 459213, 260317
501, 473017, 259630
502, 471602, 262726
503, 468726, 260358
504, 460536, 261536
505, 459739, 262766
506, 457582, 263650
507, 457445, 264618
508, 457589, 265662
509, 458712, 266205
510, 459752, 275924
511, 450061, 262189
512, 451248, 308092
513, 507517, 340210
514, 509961, 266184
515, 517113, 319090
516, 465588, 266902
517, 457986, 268233
518, 460830, 273083
519, 488179, 274589
520, 494548, 276952
521, 483282, 273014
522, 581314, 274166
523, 467213, 273843
524, 466330, 275937
525, 468025, 276735
526, 469151, 277042
527, 471997, 278331
528, 470720, 279639
529, 471606, 280436
530, 474307, 281172
531, 474349, 283615
532, 476513, 282882
533, 519802, 283854
534, 478943, 286303
535, 482583, 287179
536, 481561, 288597
537, 482698, 289758
538, 483271, 290502
539, 489788, 291429
540, 490300, 292903
541, 658623, 294268
542, 490158, 295635
543, 490848, 374646
544, 489848, 296546
545, 487022, 297760
546, 487844, 298189
547, 490852, 301268
548, 492405, 300172
549, 491631, 301852
550, 494099, 303209
551, 494907, 304262
552, 495084, 305380
553, 498455, 306537
554, 498225, 307909
555, 498642, 308676
556, 501091, 311361
557, 501741, 311140
558, 503151, 312760
559, 504363, 313266
560, 505603, 314288
561, 507568, 315121
562, 508053, 316265
563, 509267, 317505
564, 510671, 319019
565, 510428, 319960
566, 512421, 320726
567, 591711, 330189
568, 533795, 332625
569, 532255, 331767
570, 532903, 334194
571, 536048, 336828
572, 533091, 336972
573, 534849, 337686
574, 539004, 340242
575, 551729, 344548
576, 529722, 340736
577, 527862, 342094
578, 530285, 344202
579, 580811, 344571
580, 534900, 345241
581, 534268, 346969
582, 535913, 348031
583, 536885, 349072
584, 536788, 350338
585, 539376, 351201
586, 539750, 352834
587, 542519, 354036
588, 542447, 354668
589, 551969, 356290
590, 551286, 357232
591, 549292, 358346
592, 549061, 359996
593, 549201, 361161
594, 550933, 362268
595, 550680, 363408
596, 555160, 365211
597, 554324, 379722
598, 557091, 367044
599, 555648, 368145
600, 556136, 369821
601, 557006, 371066
602, 560491, 371188
603, 560975, 372984
604, 564205, 373943
605, 563061, 374905
606, 567358, 376592
607, 565695, 377842
608, 568209, 396792
609, 621462, 381920
610, 579585, 385575
611, 588945, 383558
612, 584090, 402686
613, 732893, 413344
614, 714204, 392467
615, 643930, 398108
616, 584553, 414105
617, 585830, 399651
618, 603975, 395937
619, 600533, 395256
620, 598652, 399143
621, 608815, 396463
622, 597598, 400239
623, 599511, 398742
624, 585314, 400456
625, 585578, 403202
626, 584707, 402254
627, 586925, 403156
628, 586623, 406906
629, 588592, 406070
630, 589534, 420231
631, 641586, 409176
632, 591926, 409929
633, 591689, 411140
634, 594143, 412211
635, 599796, 413800
636, 597976, 415791
637, 598727, 416821
638, 598419, 446114
639, 623884, 418619
